section,table_name,column_name,data_type,is_nullable,column_default,?column?
FOREIGN_KEYS,task_context_assignees,task_context_assignees_task_context_id_fkey,NO ACTION,CASCADE,task_contexts,null
FOREIGN_KEYS,task_contexts,task_contexts_task_id_fkey,NO ACTION,NO ACTION,tasks,null
FOREIGN_KEYS,task_contexts,task_contexts_yacht_id_fkey,NO ACTION,NO ACTION,yachts,null
FOREIGN_KEYS,task_results,task_results_performed_by_fkey,NO ACTION,NO ACTION,users,null
FOREIGN_KEYS,task_results,task_results_task_context_id_fkey,NO ACTION,CASCADE,task_contexts,null
FOREIGN_KEYS,tasks,tasks_default_unit_of_measure_id_fkey,NO ACTION,NO ACTION,units_of_measure,null
FOREIGN_KEYS,tasks,tasks_default_period_id_fkey,NO ACTION,NO ACTION,periods,null
FOREIGN_KEYS,tasks,tasks_unit_of_measure_id_fkey,NO ACTION,NO ACTION,units_of_measure,null
FOREIGN_KEYS,tasks,tasks_period_id_fkey,NO ACTION,NO ACTION,periods,null
FOREIGN_KEYS,user_group_links,user_group_links_group_id_fkey,NO ACTION,CASCADE,groups,null
FOREIGN_KEYS,user_group_links,user_group_links_user_id_fkey,NO ACTION,CASCADE,users,null
FOREIGN_KEYS,user_role_links,user_role_links_role_id_fkey,NO ACTION,CASCADE,roles,null
FOREIGN_KEYS,user_role_links,user_role_links_user_id_fkey,NO ACTION,CASCADE,users,null
FOREIGN_KEYS,yacht_group_links,yacht_group_links_group_id_fkey,NO ACTION,CASCADE,groups,null
FOREIGN_KEYS,yacht_task_results,yacht_task_results_yacht_task_id_fkey,NO ACTION,CASCADE,yacht_tasks,null
FOREIGN_KEYS,yacht_tasks,yacht_tasks_yacht_id_fkey,NO ACTION,CASCADE,yachts,null
FOREIGN_KEYS,yacht_tasks,yacht_tasks_unit_of_measure_id_fkey,NO ACTION,NO ACTION,units_of_measure,null
FOREIGN_KEYS,yacht_tasks,yacht_tasks_task_id_fkey,NO ACTION,NO ACTION,tasks,null
FOREIGN_KEYS,yacht_tasks,yacht_tasks_period_id_fkey,NO ACTION,NO ACTION,periods,null
FOREIGN_KEYS,yacht_user_links,yacht_user_links_yacht_id_fkey,NO ACTION,CASCADE,yachts,null
FOREIGN_KEYS,yacht_user_links,yacht_user_links_user_id_fkey,NO ACTION,CASCADE,users,null
FUNCTIONS,handle_auth_user_upsert,"CREATE OR REPLACE FUNCTION public.handle_auth_user_upsert()
 RE",null,null,null,null
FUNCTIONS,is_admin,"CREATE OR REPLACE FUNCTION public.is_admin()
 RETURNS boolean
 ",null,null,null,null
FUNCTIONS,visible_group_ids,"CREATE OR REPLACE FUNCTION public.visible_group_ids()
 RETURNS ",null,null,null,null
INDEXES,app_group_links,app_group_links_pkey,"CREATE UNIQUE INDEX app_group_links_pkey ON public.app_group_links USING btree (app_id, group_id)",null,null,null
INDEXES,app_user_links,app_user_links_pkey,"CREATE UNIQUE INDEX app_user_links_pkey ON public.app_user_links USING btree (app_id, user_id)",null,null,null
INDEXES,apps,apps_pkey,CREATE UNIQUE INDEX apps_pkey ON public.apps USING btree (id),null,null,null
INDEXES,groups,groups_is_archived_idx,CREATE INDEX groups_is_archived_idx ON public.groups USING btree (is_archived),null,null,null
INDEXES,groups,groups_pkey,CREATE UNIQUE INDEX groups_pkey ON public.groups USING btree (id),null,null,null
INDEXES,periods,periods_name_unique,CREATE UNIQUE INDEX periods_name_unique ON public.periods USING btree (name),null,null,null
INDEXES,periods,periods_pkey,CREATE UNIQUE INDEX periods_pkey ON public.periods USING btree (id),null,null,null
